episode,advertiser_id,strategy,budget,target_cpa,conversions,expected_conversions,cost,win_pv,compete_pv,score,budget_utilization,last_compete_tick,actual_cpa
0,0,upstream:iql,2900.0,100.0,0.0,0.18660920855196647,13.405240489990412,97,49978,0.0,0.0046224967206863485,46,134052404899.90411
0,1,upstream:iql,4350.0,70.0,0.0,0.04821992737331649,3.761479478910564,29,49978,0.0,0.0008647079261863365,45,37614794789.10564
0,2,upstream:td3_bc,3000.0,90.0,0.0,0.22815487745901913,16.24072108144673,100,49978,0.0,0.005413573693815577,47,162407210814.4673
0,3,upstream:onlinelp,2400.0,110.0,0.0,0.014826712881627409,1.0720906854287249,8,49978,0.0,0.0004467044522619687,47,10720906854.287249
0,4,upstream:onlinelp,4800.0,60.0,0.0,0.5149590745602042,38.0166903754038,360,49978,0.0,0.007920143828209124,39,380166903754.03796
0,5,upstream:cql,2000.0,130.0,2.0,1.216484390988169,158.3026471065682,907,49978,2.0,0.0791513235532841,47,79.15132354932653
0,6,upstream:bc,2050.0,120.0,9.0,6.387719615857504,694.8058034258689,3506,49978,9.0,0.33892966020774096,47,77.20064482423876
0,7,upstream:mopo,3500.0,80.0,2.0,1.287985903974517,101.79914106553022,532,49978,2.0,0.02908546887586578,47,50.89957053022013
0,8,pid,4600.0,70.0,10.0,12.818252602635237,4206.832948528996,18815,49978,0.2768761494872774,0.9145289018541296,47,420.68329484869275
0,9,upstream:bcq,2000.0,130.0,1.0,1.4341337543249943,106.69667170611078,832,49978,1.0,0.05334833585305539,31,106.69667169544111
0,10,upstream:mopo,2800.0,100.0,0.0,0.01716109605123094,1.4098644446884085,15,49978,0.0,0.0005035230159601459,30,14098644446.884085
0,11,upstream:onlinelp,2350.0,110.0,0.0,0.09478673268738651,11.396105550684435,68,49978,0.0,0.004849406617312525,47,113961055506.84435
0,12,upstream:onlinelp,2050.0,120.0,0.0,0.039938711617820255,3.6183562550024853,30,49978,0.0,0.0017650518317085294,31,36183562550.02485
0,13,upstream:td3_bc,2900.0,90.0,0.0,0.4132388293948747,33.118581627111894,205,49978,0.0,0.011420200561073067,46,331185816271.1189
0,14,upstream:iql,4750.0,60.0,2.0,2.6534732499804004,221.9864511299921,1555,49978,0.584439487605792,0.04673398971157729,31,110.99322555944639
0,15,upstream:combo,3450.0,80.0,0.0,0.1984346150570435,15.612849589399705,109,49978,0.0,0.004525463649101363,25,156128495893.99704
0,16,pid,2000.0,130.0,8.0,7.445627242768823,1882.9654744446514,8306,49978,2.4404614488208343,0.9414827372223257,47,235.3706843026393
0,17,upstream:iql,3500.0,80.0,0.0,0.0026408248643048464,0.0,0,49978,0.0,0.0,-1,0.0
0,18,upstream:td3_bc,2200.0,110.0,0.0,0.04415040396909368,3.0497175944618116,22,49978,0.0,0.0013862352702099143,46,30497175944.618114
0,19,upstream:onlinelp,2700.0,100.0,0.0,0.6451256761596894,74.51354303094136,374,49978,0.0,0.027597608529978283,47,745135430309.4136
0,20,upstream:onlinelp,3100.0,90.0,0.0,0.0,0.0,0,49978,0.0,0.0,-1,0.0
0,21,upstream:cql,2100.0,120.0,4.0,1.8526089860217347,165.7980594296888,860,49978,4.0,0.07895145687128038,47,41.44951485638596
0,22,upstream:bc,4850.0,60.0,0.0,0.07914179247949624,4.681652550639037,30,49978,0.0,0.0009652891856987705,47,46816525506.39037
0,23,upstream:mopo,4100.0,70.0,0.0,0.3388620250721735,29.314015524492927,176,49978,0.0,0.007149759884022665,47,293140155244.92926
0,24,pid,2000.0,120.0,3.0,7.308383084672037,1906.9389276986221,8355,49978,0.1069184582063179,0.9534694638493111,47,635.6463092116859
0,25,upstream:bcq,4800.0,60.0,0.0,0.011011993498331195,0.954200653259353,9,49978,0.0,0.0001987918027623652,31,9542006532.593529
0,26,upstream:mopo,3050.0,90.0,0.0,0.09197255231316856,6.835051527965547,60,49978,0.0,0.0022410005009723104,31,68350515279.655464
0,27,upstream:onlinelp,4250.0,70.0,0.0,0.004112568222026976,0.2348266035753412,2,49978,0.0,5.5253318488315576e-05,25,2348266035.753412
0,28,upstream:onlinelp,2850.0,100.0,0.0,0.03122227675855812,2.1255288704115056,11,49978,0.0,0.0007457996036531599,42,21255288704.115055
0,29,upstream:td3_bc,2250.0,110.0,0.0,0.0,0.0,0,49978,0.0,0.0,-1,0.0
0,30,upstream:iql,2000.0,130.0,0.0,0.0026791518433658956,0.18501724644704104,2,49978,0.0,9.250862322352052e-05,28,1850172464.4704103
0,31,upstream:combo,3900.0,80.0,0.0,0.03637265240551162,2.659565078219797,22,49978,0.0,0.0006819397636461018,31,26595650782.19797
0,32,pid,2000.0,120.0,6.0,7.044080351148126,1870.0919505088011,8256,49978,0.8893860668726288,0.9350459752544006,47,311.68199174627216
0,33,upstream:iql,3250.0,90.0,15.0,14.018568084549345,2286.1902401855523,8808,49978,5.230389883629283,0.7034431508263238,46,152.41268267802073
0,34,upstream:td3_bc,4450.0,70.0,0.0,0.0009122990580281925,0.11674386925670954,1,49978,0.0,2.6234577361058326e-05,38,1167438692.5670953
0,35,upstream:onlinelp,3550.0,80.0,1.0,0.3687287542273158,26.48655095061449,147,49978,1.0,0.0074610002677787295,23,26.486550947965835
0,36,upstream:onlinelp,2700.0,100.0,0.0,0.5540101631301798,42.949858047018466,226,49978,0.0,0.015907354832229062,44,429498580470.18463
0,37,upstream:cql,2100.0,110.0,4.0,7.146080942409378,2099.8585814701823,8777,49978,0.1756245601151605,0.9999326578429439,35,524.9646453544215
0,38,upstream:bc,4650.0,60.0,11.0,15.697501112671663,4649.977893369905,14420,20996,0.22160460446456348,0.9999952458860012,22,422.7252630297848
0,39,upstream:mopo,2000.0,130.0,1.0,0.18377080911026475,10.325012617727323,91,49978,1.0,0.005162506308863661,39,10.32501261669482
0,40,pid,3400.0,90.0,4.0,7.303108370593997,3299.239633586986,14892,49978,0.04762525031403762,0.9703645981138195,47,824.8099083761263
0,41,upstream:bcq,2650.0,100.0,2.0,1.2935610944095952,92.27208301542042,728,49978,2.0,0.034819653968083175,28,46.136041505403405
0,42,upstream:mopo,2300.0,110.0,0.0,0.16253731920137524,9.400020256368437,77,49978,0.0,0.004086965328855842,44,94000202563.68437
0,43,upstream:onlinelp,4100.0,80.0,0.0,0.28685603306488483,18.51907080306932,186,49978,0.0,0.00451684653733398,26,185190708030.69318
0,44,upstream:onlinelp,4800.0,60.0,0.0,0.019969482141123287,1.3370199398121092,14,49978,0.0,0.0002785458207941894,43,13370199398.121092
0,45,upstream:td3_bc,4450.0,70.0,3.0,3.7063846267080214,656.0945660487934,3496,49978,0.3073455734432333,0.1474369811345603,46,218.69818867564118
0,46,upstream:iql,2000.0,130.0,2.0,6.206319985844164,1999.9157273341455,7533,24898,0.03380284859952223,0.9999578636670727,25,999.9578636170748
0,47,upstream:combo,2050.0,120.0,3.0,1.8478113356958275,183.7528505953079,1093,49978,3.0,0.08963553687575995,35,61.25095019639427
1,0,upstream:iql,2900.0,100.0,0.0,0.013585661421672866,0.6586879372177423,9,49973,0.0,0.0002271337714543939,3,6586879372.1774235
1,1,upstream:iql,4350.0,70.0,2.0,2.034785772916831,352.4650488845939,1983,49973,0.31553965844652343,0.08102644801944688,47,176.2325244334853
1,2,upstream:td3_bc,3000.0,90.0,0.0,0.0,0.0,0,49973,0.0,0.0,-1,0.0
1,3,upstream:onlinelp,2400.0,110.0,0.0,0.0,0.0,0,49973,0.0,0.0,-1,0.0
1,4,upstream:onlinelp,4800.0,60.0,0.0,0.046785908380897814,3.6704341424721467,46,49973,0.0,0.0007646737796816972,33,36704341424.721466
1,5,upstream:cql,2000.0,130.0,0.0,0.003669930902351287,0.37942646472156794,3,49973,0.0,0.00018971323236078398,46,3794264647.215679
1,6,upstream:bc,2050.0,120.0,0.0,0.03883956937909381,2.812584928734987,36,49973,0.0,0.0013719926481634082,7,28125849287.34987
1,7,upstream:mopo,3500.0,80.0,0.0,0.004856100861398069,0.3703143121921155,3,49973,0.0,0.0001058040891977473,37,3703143121.921155
1,8,pid,4600.0,70.0,22.0,12.26255194070622,4599.934209314768,18164,46107,2.4658172252153334,0.9999856976771234,44,209.08791860426635
1,9,upstream:bcq,2000.0,130.0,1.0,1.875052932615928,140.11543545369938,1099,49973,0.8608247458135319,0.07005771772684968,47,140.11543543968784
1,10,upstream:mopo,2800.0,100.0,0.0,0.12520206729454855,5.924135071769945,74,49973,0.0,0.002115762525632123,46,59241350717.69945
1,11,upstream:onlinelp,2350.0,110.0,1.0,1.1667924720173408,126.11293979615179,760,49973,0.7607922348685802,0.05366508076431991,47,126.1129397835405
1,12,upstream:onlinelp,2050.0,120.0,1.0,0.7143137239085612,92.42418514989747,599,49973,1.0,0.04508496836580364,47,92.42418514065506
1,13,upstream:td3_bc,2900.0,90.0,5.0,6.5954776377875755,2899.9667432952187,8823,14707,0.1203951513429041,0.9999885321707651,18,579.9933486474439
1,14,upstream:iql,4750.0,60.0,12.0,15.787617517873066,4749.974467403638,16532,23488,0.2757170915353472,0.9999946247165554,24,395.8312056136713
1,15,upstream:combo,3450.0,80.0,10.0,8.19370766466329,1065.8945477790444,6054,49973,5.633152292121667,0.3089549413852303,47,106.58945477683855
1,16,pid,2000.0,130.0,10.0,7.631639802469704,1959.9354770905702,9578,49973,4.399498320037685,0.9799677385452851,47,195.9935477070971
